Type,name,Score,Metric
Top,Martin Ødegaard,344.0,PrgP.1
Top,Pascal Groß,302.0,PrgP.1
,,,
Bottom,,,PrgP.1
Bottom,Daniel Bentley,0.0,PrgP.1
Bottom,Martin Dúbravka,0.0,PrgP.1
Bottom,Wes Foderingham,0.0,PrgP.1
,,,
Top,,,Pass_Live
Top,Rodri,3572.0,Pass_Live
Top,Lewis Dunk,3005.0,Pass_Live
Top,Pascal Groß,2903.0,Pass_Live
,,,
Bottom,,,Pass_Live
Bottom,Leon Chiwome,18.0,Pass_Live
Bottom,Neal Maupay,23.0,Pass_Live
Bottom,Alex Iwobi,34.0,Pass_Live
,,,
Top,,,Pass_Dead
Top,Jordan Pickford,496.0,Pass_Dead
Top,Thomas Kaminski,493.0,Pass_Dead
Top,Alfie Doughty,489.0,Pass_Dead
,,,
Bottom,,,Pass_Dead
Bottom,Calum Chambers,0.0,Pass_Dead
Bottom,Carney Chukwuemeka,0.0,Pass_Dead
Bottom,Leander Dendoncker,0.0,Pass_Dead
,,,
Top,,,Pass_FK
Top,Jordan Pickford,223.0,Pass_FK
Top,Mark Flekken,166.0,Pass_FK
Top,Thomas Kaminski,152.0,Pass_FK
,,,
Bottom,,,Pass_FK
Bottom,Elijah Adebayo,0.0,Pass_FK
Bottom,Mads Juel Andersen,0.0,Pass_FK
Bottom,Cameron Archer,0.0,Pass_FK
,,,
Top,,,Pass_TB
Top,Martin Ødegaard,39.0,Pass_TB
Top,Bruno Fernandes,30.0,Pass_TB
Top,Lucas Paquetá,30.0,Pass_TB
,,,
Bottom,,,Pass_TB
Bottom,Tyler Adams,0.0,Pass_TB
Bottom,Naouirou Ahamada,0.0,Pass_TB
Bottom,Alisson,0.0,Pass_TB
,,,
Top,,,Pass_Sw
Top,Fabian Schär,41.0,Pass_Sw
Top,Rodri,36.0,Pass_Sw
Top,Trent Alexander-Arnold,32.0,Pass_Sw
,,,
Bottom,,,Pass_Sw
Bottom,Elijah Adebayo,0.0,Pass_Sw
Bottom,Naouirou Ahamada,0.0,Pass_Sw
Bottom,Miguel Almirón,0.0,Pass_Sw
,,,
Top,,,Pass_Crs
Top,Alfie Doughty,340.0,Pass_Crs
Top,Pascal Groß,238.0,Pass_Crs
Top,Dwight McNeil,229.0,Pass_Crs
,,,
Bottom,,,Pass_Crs
Bottom,Alisson,0.0,Pass_Crs
Bottom,Mads Juel Andersen,0.0,Pass_Crs
Bottom,Alphonse Areola,0.0,Pass_Crs
,,,
Top,,,Pass_TI
Top,Tyrick Mitchell,347.0,Pass_TI
Top,Vladimír Coufal,319.0,Pass_TI
Top,Pedro Porro,295.0,Pass_TI
,,,
Bottom,,,Pass_TI
Bottom,Alisson,0.0,Pass_TI
Bottom,Zeki Amdouni,0.0,Pass_TI
Bottom,Jaidon Anthony,0.0,Pass_TI
,,,
Top,,,Pass_CK
Top,Alfie Doughty,151.0,Pass_CK
Top,Bruno Fernandes,151.0,Pass_CK
Top,Andreas Pereira,148.0,Pass_CK
,,,
Bottom,,,Pass_CK
Bottom,Max Aarons,0.0,Pass_CK
Bottom,Tyler Adams,0.0,Pass_CK
Bottom,Tosin Adarabioyo,0.0,Pass_CK
,,,
Top,,,In
Top,Bukayo Saka,99.0,In
Top,Lewis Cook,81.0,In
Top,Alfie Doughty,66.0,In
,,,
Bottom,,,In
Bottom,Max Aarons,0.0,In
Bottom,Tyler Adams,0.0,In
Bottom,Tosin Adarabioyo,0.0,In
,,,
Top,,,Out
Top,Alfie Doughty,80.0,Out
Top,Andreas Pereira,74.0,Out
Top,Pascal Groß,57.0,Out
,,,
Bottom,,,Out
Bottom,Max Aarons,0.0,Out
Bottom,Tyler Adams,0.0,Out
Bottom,Tosin Adarabioyo,0.0,Out
,,,
Top,,,Str
Top,Pablo Sarabia,10.0,Str
Top,Bruno Fernandes,8.0,Str
Top,Kieran Trippier,8.0,Str
,,,
Bottom,,,Str
Bottom,Max Aarons,0.0,Str
Bottom,Tyler Adams,0.0,Str
Bottom,Tosin Adarabioyo,0.0,Str
,,,
Top,,,Pass_Cmp_outcome
Top,Rodri,3365.0,Pass_Cmp_outcome
Top,Lewis Dunk,2977.0,Pass_Cmp_outcome
Top,Pascal Groß,2774.0,Pass_Cmp_outcome
,,,
Bottom,,,Pass_Cmp_outcome
Bottom,Leon Chiwome,19.0,Pass_Cmp_outcome
Bottom,Neal Maupay,22.0,Pass_Cmp_outcome
Bottom,Alex Iwobi,27.0,Pass_Cmp_outcome
,,,
Top,,,Pass_Off
Top,Bruno Fernandes,23.0,Pass_Off
Top,Enzo Fernández,17.0,Pass_Off
Top,Martin Ødegaard,16.0,Pass_Off
,,,
Bottom,,,Pass_Off
Bottom,Tyler Adams,0.0,Pass_Off
Bottom,Naouirou Ahamada,0.0,Pass_Off
Bottom,Mads Juel Andersen,0.0,Pass_Off
,,,
Top,,,Pass_Blocks
Top,Tyrick Mitchell,70.0,Pass_Blocks
Top,Pedro Porro,68.0,Pass_Blocks
Top,Antonee Robinson,68.0,Pass_Blocks
,,,
Bottom,,,Pass_Blocks
Bottom,Tyler Adams,0.0,Pass_Blocks
Bottom,Alphonse Areola,0.0,Pass_Blocks
Bottom,Daniel Bentley,0.0,Pass_Blocks
,,,
Top,,,SCA
Top,Martin Ødegaard,220.0,SCA
Top,Bruno Fernandes,210.0,SCA
Top,Bukayo Saka,188.0,SCA
,,,
Bottom,,,SCA
Bottom,Mads Juel Andersen,0.0,SCA
Bottom,Martin Dúbravka,0.0,SCA
Bottom,Tim Iroegbunam,0.0,SCA
,,,
Top,,,SCA90
Top,Manor Solomon,8.59,SCA90
Top,Alex Iwobi,7.77,SCA90
Top,Kevin De Bruyne,7.36,SCA90
,,,
Bottom,,,SCA90
Bottom,Mads Juel Andersen,0.0,SCA90
Bottom,Martin Dúbravka,0.0,SCA90
